R3MK110629_01,FMB,0
R3MK110519_01,RBC,0
R3MK120615_07,DB2,0
R3MK110630_01,FMB,1
R3MK110504_02,Diffuse OFF,0
R3MK120710_07,DB1,0
R3MK101013_04,IMB,0
R3MK120709_07,DB3B,0
R3MK101020_05,RBC,0
R3MK120530_03,DB3B,0
R3MK110728_02,RBC,0
R3MK101020_01,RBC,0
R3MK110407_02,DB4,0
R3MK120712_03,DB2,1
R3MK111102_01,OFF DB,0
R3MK110407_10,BB,0
R3MK130719_01,DB5,0
R3MK110922_08,DB6,0
R3MK100929_13,RBC,0
R3MK120327_06,ON diffuse,1
R3MK120604_02,DB4,1
R3MK130701_02,DB5,0
R3MK110914_02,DB4,0
R3MK150209_02,IMB,0
R3MK140206_04,FMB,0
R3MK110503_01,RBC,0
R3MK101020_04,DB1,0
R3MK100930_02,IMB,0
R3MK121130_01,DB1,0
R3MK120629_01,DB2,0
R3MK100929_18,RBC,0
R3MK120615_01,FMB,0
R3MK120605_02,ON,0
R3MK120711_05,DB3A,0
R3MK110504_03,FMB,0
R3MK120919_06,DB1,0
R3MK121129_03,DB3B,0
R3MK100920_04,IMB,0
R3MK120710_05,FMB,0
R3MK130702_01,FMB,0
R3MK120604_04,DB5 or DB6,0
R3MK110629_06,DB2,0
R3MK111220_02,FMB,0
R3MK130719_02,DB5,0
R3MK120529_01,DB3B,0
R3MK110504_08,diffuse OFF,1
R3MK121106_01,FMB,0
R3MK120711_01,FMB,0
R3MK111010_01,FMB,0
R3MK110629_02,IMB,0
R3MK110902_05,DB5,0
R3MK100929_09,RBC,0
R3MK120604_05,DB2,0
R3MK110722_08,DB4,0
R3MK101027_06,RBC,0
R3MK101105_07,IMB,0
R3MK120604_01,IMB,0
R3MK130710_04,FMB,0
R3MK101021_02,RBC,0
R3MK120712_04,DB3B,0
R3MK110722_06,DB4,0
R3MK121204_03,DB3B cone pair,0
R3MK110903_01,DB2,0
R3MK121114_01,DB2,0
R3MK101104_04,RBC,0
R3MK121114_07,DB3B,0
R3MK110621_01,RBC,0
R3MK120613_03,FMB,1
R3MK110518_04,DB2,1
R3MK130710_01,FMB two cones,0
R3MK130128_01,DB5,0
R3MK140207_01,DB3B,0
R3MK120706_02,DB1,0
R3MK120709_06,DB2,1
R3MK101027_05,IMB,0
R3MK150205_02,DB2 or FMB,1
R3MK121114_10,DB3A,0
R3MK120925_01,DB3A,0
R3MK101104_03,IMB,0
R3MK100930_05,RBC,0
R3MK110503_02,DB6,0
R3MK111019_06,RBC,0
R3MK130710_05,FMB,0
R3MK110916_03,RBC,0
R3MK121108_04,DB3A,0
R3MK100921_01,RBC,1
R3MK111129_05,DB4,1
R3MK100929_14,DB4,0
R3MK121109_02,GBC,0
R3MK101012_10,DB5,0
R3MK110622_03,IMB,0
R3MK120919_02,DB3A,0
R3MK140206_07,DB3A,0
R3MK120611_02,DB3 or DB4,0
R3MK110922_04,DB3A,0
R3MK130718_03,DB1,0
R3MK121121_03,FMB,0
R3MK120710_01,DB3B,0
R3MK121105_06,DB2,0
R3MK120606_02,Unknown,0
R3MK111004_02,RBC,0
R3MK120327_05,RBC,0
R3MK120711_04,FMB,0
R3MK110915_01,FMB,0
R3MK101028_01,DB4,0
R3MK120711_08,FMB,0
R3MK110408_08,IMB,0
R3MK100920_07,ON,0
R3MK120919_08,DB3A,0
R3MK110714_05,DB4,0
R3MK120705_04,DB3A,1
R3MK110504_05,DB5,0
R3MK120327_07,IMB,0
R3MK111130_05,RBC,0
R3MK110919_01,IMB,0
R3MK101105_01,FMB,0
R3MK111103_02,RBC,0
R3MK110617_04,DB4,0
R3MK110629_07,DB1,0
R3MK141027_04,DB5,0
R3MK110917_02,IMB,0
R3MK121129_02,DB1,0
R3MK121129_07,DB2,0
R3MK121115_01,DB3B,0
R3MK110630_07,IMB,0
R3MK101012_08,IMB,0
R3MK100929_20,DB5,0
R3MK101027_10,RBC,0
R3MK110408_04,DB5,0
R3MK111130_07,DB4,0
R3MK120710_03,Diffuse,1
R3MK111021_06,DB3A,0
R3MK110629_08,DB5,0
R3MK101012_09,IMB,0
R3MK110917_04,IMB,0
R3MK110629_03,RBC,0
R3MK130214_01,DB3B,0
R3MK120705_08,FMB,0
R3MK101012_03,DB4,0
R3MK120712_09,FMB,0
R3MK120728_04,DB2,0
R3MK110407_06,RBC,0
R3MK121204_04,DB4,0
R3MK141027_03,FMB,0
R3MK120919_01,DB3A,1
R3MK110407_12,RBC,0
R3MK101020_03,DB4,0
R3MK101105_09,RBC,0
R3MK121205_02,DB2-cone pair ,0
R3MK100920_14,RBC,0
R3MK120605_01,Diffuse,1
R3MK120728_05,FMB,0
R3MK110913_02,DB2,0
R3MK110630_09,DB2,0
R3MK121129_01,FMB,0
R3MK121108_02,FMB,0
R3MK120709_09,FMB,0
R3MK110914_01,DB2,0
R3MK120607_05,ON,0
R3MK110408_02,RBC,0
R3MK120925_05,DB3 or DB4,0
R3MK110917_05,IMB,0
R3MK101104_02,DB4,0
R3MK110728_07,DB3A,0
R3MK120604_03,Diffuse,1
R3MK120628_05,DB1,0
R3MK110630_05,RBC,0
R3MK120613_01,IMB,1
R3MK120706_03,FMB,0
R3MK130701_01,DB4,0
R3MK121204_02,DB1-cone pair,0
R3MK130128_03,DB4,0
R3MK100930_01,RBC,0
R3MK121109_03,DB2,0
R3MK120615_05,Unknown,0
R3MK110617_02,IMB,0
R3MK110714_02,IMB,0
R3MK130128_06,FMB,0
R3MK101013_05,Unknown,0
R3MK110920_05,DB2,0
R3MK111021_02,RBC,0
R3MK121115_03,DB3B,1
R3MK140206_03,DB2,0
R3MK110919_05,DB5,0
R3MK101021_04,IMB,0
R3MK101105_06,DB5,0
R3MK120710_02,DB2,0
R3MK120607_01,DB3,0
R3MK110616_01,DB2,0
R3MK101027_01,DB1,0
R3MK120712_01,DB2,0
R3MK120530_06,DB2,0
R3MK121114_02,DB3B,0
R3MK120327_02,RBC,0
R3MK101013_02,DB2 + ON,0
R3MK120615_03,FMB,0
R3MK130214_03,DB2,0
R3MK130128_04,DB2,0
R3MK120614_03,Diffuse,1
R3MK120615_02,FMB,0
R3MK100929_21,RBC,0
R3MK120615_06,DB2,0
R3MK110518_07,IMB,0
R3MK120613_06,FMB,1
R3MK130718_04,DB4,0
R3MK101021_05,DB2,0
R3MK110408_07,IMB,0
R3MK110914_03,DB3A,0
R3MK121102_06,DB3A,0
R3MK110916_02,DB4 or DB5,0
R3MK110630_04,DB4,0
R3MK120711_09,FMB,0
R3MK150205_03,DB2,0
R3MK110407_03,RBC,0
R3MK120709_11,DB3A,0
R3MK110408_09,RBC,0
R3MK100929_19,DB4,1
R3MK110408_01,FMB,1
R3MK120709_01,FMB,1
R3MK110519_05,RBC,1
R3MK120706_01,DB4,0
R3MK101021_03,IMB,0
R3MK121115_02,DB3B,0
R3MK101027_02,DB1 or DB4B,0
R3MK110518_03,DB4,0
R3MK111130_08,RBC,1
R3MK100920_01,DB2 or FMB,0
R3MK150220_02,DB4,0
R3MK110715_03,FMB,0
R3MK100930_04,RBC,0
R3MK120612_03,DB2,0
R3MK110630_06,RBC,0
R3MK101027_12,IMB,0
R3MK110519_07,DB5,0
R3MK110903_03,DB5,0
R3MK101021_01,RBC,0
R3MK120530_02,RBC,0
R3MK150205_06,DB2,0
R3MK120717_03,FMB,0
R3MK101027_13,DB4,0
R3MK121129_05,DB2,0
R3MK111010_03,RBC,0
R3MK111130_03,DB4 or DB3B,1
R3MK121105_07,FMB,0
R3MK110728_04,DB1,0
R3MK130718_02,IMB,0
R3MK111130_10,Unknown,0
R3MK110722_05,IMB,0
R3MK101013_01,Unknown,0
R3MK100921_02,RBC,0
R3MK101012_05,FMB,0
R3MK100929_11,IMB,0
R3MK150209_01,FMB-cone pair,0
R3MK121129_08,DB2,0
R3MK110728_06,DB5,0
R3MK111103_01,DB2,0
R3MK100920_11,DB1,0
R3MK111220_03,FMB,0
R3MK120705_09,FMB,0
R3MK111019_01,RBC,0
R3MK110922_09,IMB,0
R3MK111130_01,RBC,0
R3MK120629_02,DB1,0
R3MK120605_07,Diffuse,0
R3MK101012_04,DB Bistratified,0
R3MK110923_03,DB4,0
R3MK130214_02,DB4,0
R3MK100920_10,RBC,1
R3MK120529_03,DB5,0
R3MK141001_04,FMB,0
R3MK110518_02,DB5 or DB6,0
R3MK110519_02,IMB,0
R3MK110504_04,DB2 or DB3,0
R3MK110914_04,DB3A,0
R3MK140128_02,DB3A,0
R3MK111129_02,DB6,0
R3MK110518_06,DB1,0
R3MK101012_07,Unknown,0
R3MK110407_07,RBC,0
R3MK120607_03,DB2,0
R3MK101105_10,DB4,0
R3MK110621_03,RBC or ON,0
R3MK120604_06,Unknown,0
R3MK120605_04,Unknown,0
R3MK120628_03,Unknown,0
R3MK110923_04,DB4,1
R3MK110922_05,IMB,0
R3MK100920_05,RBC,0
R3MK100920_02,DB6,0
R3MK111004_01,RBC or DB6,0
R3MK120629_03,DB3B,0
R3MK120615_09,DB2,1
R3MK121026_02,DB3A,0
R3MK130718_01,IMB,0
R3MK101021_08,RBC,0
R3MK111221_03,IMB,0
R3MK110913_04,DB5,0
R3MK120717_02,DB2 or DB3,1
R3MK110630_10,IMB,0
R3MK110407_05,Unknown,0
R3MK111021_01,RBC,0
R3MK120530_04,RBC,0
R3MK101105_08,RBC,0
R3MK111129_01,DB4,0
R3MK110519_06,IMB,0
R3MK120327_01,RBC,0
R3MK111220_04,RBC,0
R3MK121106_02,DB2,0
R3MK100930_03,DB6,0
R3MK120530_01,IMB,0
R3MK140207_03,DB3B,0
R3MK110407_14,IMB,0
R3MK110830_01,IMB,0
R3MK101012_12,DB2,0
R3MK101027_09,IMB,0
R3MK121129_09,DB2,0
R3MK110902_01,DB3A,0
R3MK100920_08,DB5,0
R3MK141001_03,DB3B,0
R3MK110408_11,FMB,1
R3MK110928_01,RBC,0
R3MK110630_03,RBC,0
R3MK100929_17,DB4,0
R3MK110928_04,DB2 or DB3,0
R3MK110722_04,DB2,0
R3MK101012_02,FMB,0
R3MK111129_06,DB3A,0
R3MK101104_05,DB3B,0
R3MK110629_09,IMB,0
R3MK111004_03,RBC,0
R3MK111019_02,RBC,0
R3MK120530_05,DB2,0
R3MK100920_03,BB,0
R3MK120705_07,DB3A,1
R3MK101104_10,IMB,0
R3MK110922_06,RBC,0
R3MK121108_07,DB3A,0
R3MK100929_10,IMB,0
R3MK121114_06,DB3B,0
R3MK111019_05,RBC,0
R3MK101012_14,FMB,0
R3MK120615_10,FMB,0
R3MK111019_04,DB4,0
R3MK120713_02,DB1,0
R3MK130214_04,DB1,0
R3MK120710_04,Widefield ON,0
R3MK110407_01,RBC or DB6,0
R3MK110916_04,RBC,1
R3MK110503_04,AC,0
R3MK110722_02,FMB,0
R3MK140207_02,DB3A,0
R3MK101027_07,RBC,0
R3MK120327_03,FMB,0
R3MK110407_09,IMB,0
R3MK120924_04,FMB,0
R3MK121108_06,FMB,0
R3MK120529_02,DB5,0
R3MK101027_11,RBC,0
R3MK110728_05,RBC,0
R3MK121108_05,DB2,0
R3MK100920_09,RBC,0
R3MK101012_01,DB4,0
R3MK111130_06,RBC,0
R3MK120606_01,IMB,0
R3MK100929_12,RBC,0
R3MK110622_01,FMB,0
R3MK110922_03,IMB,0
R3MK111129_04,RBC,0
R3MK100929_04,RBC,0
R3MK130702_03,DB1,0
R3MK120710_06,FMB,0
R3MK130129_01,FMB,0
R3MK120727_01,FMB,0
R3MK120605_06,DB,0
R3MK101021_09,RBC,0
R3MK120711_07,FMB,0
R3MK110407_08,RBC,0
R3MK110630_02,FMB,1
R3MK111130_04,IMB,0
R3MK111021_05,DB4,1
R3MK110519_03,IMB,0
R3MK120607_04,DB4,0
R3MK110519_04,RBC,0
R3MK110903_02,DB2,0
R3MK120709_03,DB1,0
R3MK101027_03,MB,0
R3MK120711_06,DB3B,0
R3MK101104_07,IMB,0
R3MK120712_10,FMB,0
R3MK110913_01,DB5,0
R3MK110915_02,DB3B,0
R3MK140206_06,DB6,0
R3MK121108_03,DB2,0
R3MK110408_06,DB5,0
R3MK110714_03,DB6,0
R3MK110630_08,DB4,0
R3MK120711_03,FMB,0
R3MK110408_12,FMB or DB2,0
R3MK140206_01,DB2,0
R3MK120717_01,DB3B-cone pair,0
